Datetime,Open,High,Low,Close,Volume,OI,Date,Time
2025-02-28 09:28:00+05:30,1290.45,1290.75,1287.95,1289.2,9401,0,2025-02-28,09:28:00
2025-02-28 09:29:00+05:30,1288.8,1289.95,1288.0,1288.65,11695,0,2025-02-28,09:29:00
2025-02-28 09:30:00+05:30,1288.0,1289.65,1287.7,1289.0,24764,0,2025-02-28,09:30:00
2025-02-28 09:31:00+05:30,1289.0,1290.8,1288.0,1289.85,11498,0,2025-02-28,09:31:00
2025-02-28 09:32:00+05:30,1290.35,1296.45,1290.35,1293.65,13181,0,2025-02-28,09:32:00
2025-02-28 09:33:00+05:30,1292.7,1295.6,1291.7,1294.05,10686,0,2025-02-28,09:33:00
2025-02-28 09:34:00+05:30,1294.05,1296.05,1291.85,1294.5,11555,0,2025-02-28,09:34:00
2025-02-28 09:35:00+05:30,1294.5,1297.45,1294.0,1294.3,16561,0,2025-02-28,09:35:00
2025-02-28 09:36:00+05:30,1294.35,1295.8,1292.45,1295.45,10753,0,2025-02-28,09:36:00
2025-02-28 09:37:00+05:30,1295.45,1300.0,1294.3,1298.85,17877,0,2025-02-28,09:37:00
2025-02-28 09:38:00+05:30,1298.8,1302.75,1298.2,1300.25,15463,0,2025-02-28,09:38:00
2025-02-28 09:39:00+05:30,1300.25,1301.05,1298.6,1299.35,7236,0,2025-02-28,09:39:00
2025-02-28 09:40:00+05:30,1299.35,1301.3,1298.65,1300.1,5228,0,2025-02-28,09:40:00
2025-02-28 09:41:00+05:30,1299.8,1301.7,1298.65,1299.65,4135,0,2025-02-28,09:41:00
2025-02-28 09:42:00+05:30,1299.8,1300.1,1297.7,1298.25,3837,0,2025-02-28,09:42:00
2025-02-28 09:43:00+05:30,1298.25,1300.0,1298.25,1299.1,3436,0,2025-02-28,09:43:00
2025-02-28 09:44:00+05:30,1299.1,1300.95,1299.1,1300.4,4829,0,2025-02-28,09:44:00
2025-02-28 09:45:00+05:30,1299.55,1302.05,1299.55,1301.2,5232,0,2025-02-28,09:45:00
2025-02-28 09:46:00+05:30,1301.3,1301.7,1300.6,1300.8,2099,0,2025-02-28,09:46:00
2025-02-28 09:47:00+05:30,1300.75,1304.0,1300.7,1304.0,3218,0,2025-02-28,09:47:00
2025-02-28 09:48:00+05:30,1304.0,1304.0,1301.25,1302.0,6876,0,2025-02-28,09:48:00
2025-02-28 09:49:00+05:30,1302.0,1302.0,1300.3,1302.0,2964,0,2025-02-28,09:49:00
2025-02-28 09:50:00+05:30,1302.0,1304.3,1300.65,1302.25,5485,0,2025-02-28,09:50:00
2025-02-28 09:51:00+05:30,1301.55,1303.35,1300.85,1302.9,2568,0,2025-02-28,09:51:00
2025-02-28 09:52:00+05:30,1303.2,1303.2,1301.7,1302.7,1032,0,2025-02-28,09:52:00
2025-02-28 09:53:00+05:30,1302.35,1302.6,1298.7,1298.7,2801,0,2025-02-28,09:53:00
2025-02-28 09:54:00+05:30,1298.65,1300.75,1297.65,1300.4,7089,0,2025-02-28,09:54:00
2025-02-28 09:55:00+05:30,1300.35,1302.85,1298.95,1298.95,3133,0,2025-02-28,09:55:00
2025-02-28 09:56:00+05:30,1298.8,1298.8,1295.05,1295.2,4418,0,2025-02-28,09:56:00
2025-02-28 09:57:00+05:30,1294.95,1294.95,1292.25,1294.3,5246,0,2025-02-28,09:57:00
2025-02-28 09:58:00+05:30,1293.75,1295.95,1293.1,1295.95,4053,0,2025-02-28,09:58:00
2025-02-28 09:59:00+05:30,1296.05,1297.9,1295.95,1297.0,4859,0,2025-02-28,09:59:00
2025-02-28 10:00:00+05:30,1297.0,1299.0,1297.0,1298.0,4731,0,2025-02-28,10:00:00
2025-02-28 10:01:00+05:30,1298.05,1300.0,1296.05,1298.6,6159,0,2025-02-28,10:01:00
2025-02-28 10:02:00+05:30,1298.6,1299.9,1296.7,1298.85,3111,0,2025-02-28,10:02:00
2025-02-28 10:03:00+05:30,1298.85,1298.85,1296.85,1296.9,2371,0,2025-02-28,10:03:00
2025-02-28 10:04:00+05:30,1296.9,1298.0,1295.5,1297.8,2686,0,2025-02-28,10:04:00
2025-02-28 10:05:00+05:30,1297.8,1300.95,1297.8,1299.1,4268,0,2025-02-28,10:05:00
2025-02-28 10:06:00+05:30,1299.1,1299.75,1298.0,1299.75,2322,0,2025-02-28,10:06:00
2025-02-28 10:07:00+05:30,1299.75,1300.8,1298.55,1299.65,3974,0,2025-02-28,10:07:00
2025-02-28 10:08:00+05:30,1299.65,1299.85,1298.1,1298.15,539,0,2025-02-28,10:08:00
2025-02-28 10:09:00+05:30,1297.9,1298.55,1297.05,1298.1,2556,0,2025-02-28,10:09:00
2025-02-28 10:10:00+05:30,1298.1,1298.45,1297.2,1297.65,1483,0,2025-02-28,10:10:00
2025-02-28 10:11:00+05:30,1297.15,1299.35,1297.15,1299.0,3883,0,2025-02-28,10:11:00
